search URL:,https://patents.google.com/?q=AR&country=KR
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
KR-101626170-B1,"금속 착체 및 유기 화합물을 함유하는 조성물, 및 상기 조성물을 사용하여 이루어지는 발광 소자 ",스미또모 가가꾸 가부시키가이샤,"고헤이 아사다, 오사무 고또, 치즈 세끼네",2008-06-23,2009-06-23,2016-05-31,2016-05-31,https://patents.google.com/patent/KR101626170B1/ko,
KR-950700061-A,Reversal of multidrug resistance by an ethylene-tetra-aryl (reversal of multi -drug resistance by tetraarylethylenes) ,"스티븐 엘. 네스비트, 메렐 다우 파마슈티칼스 인크.",사이 피. 썬카라,1992-02-06,1993-01-11,1995-01-16,,https://patents.google.com/patent/KR950700061A/en,
KR-100329469-B1,Cyclic novel heterocyclic compound ,후지사와 야꾸힝 고교 가부시키가이샤,"오쿠테루오, 기야키리히로시, 사토시게키, 아베요시토, 사와다유키, 이노우에다카유키, 다나카히로가쭈",1993-04-28,1994-04-26,2003-01-09,2003-01-09,https://patents.google.com/patent/KR100329469B1/en,
KR-20080064114-A,Carbazole-containing amine compound and use thereof ,도요 잉키 세이조 가부시끼가이샤,"야스마사 수다, 타다오 야기, 요시타케 오류, 히로아키 타나카, 미치코 타마노, 야스마사 토바",2005-10-07,2006-10-06,2008-07-08,,https://patents.google.com/patent/KR20080064114A/en,https://patentimages.storage.googleapis.com/d1/fd/0e/7f0721a41d1880/112008019411198-PCT00190.png
KR-20120107530-A,드라이 에칭제 및 그것을 사용한 드라이 에칭 방법 ,샌트랄 글래스 컴퍼니 리미티드,"아키오 기쿠치, 이사무 모리, 사토루 오카모토, 도모노리 우메자키, 야스오 히비노",2010-02-01,2011-01-25,2012-10-02,,https://patents.google.com/patent/KR20120107530A/ko,https://patentimages.storage.googleapis.com/11/52/33/8163df90e64a13/pct00003.png
KR-101043905-B1,할로겐화 옥심 유도체 및 잠산으로서의 이의 용도 ,시바 홀딩 인크,"아키라 마쓰모토, 페터 무러, 도시카게 아사쿠라, 히토시 야마토, 토비아스 힌터만",2003-02-19,2004-02-09,2011-06-29,2011-06-29,https://patents.google.com/patent/KR101043905B1/ko,
KR-101202347-B1,A condensed-cyclic compound and an organic light emitting diode employing an organic layer comprising the same ,삼성디스플레이 주식회사,"김희연, 양승각, 이관희",2009-10-09,2009-10-09,2012-11-16,2012-11-16,https://patents.google.com/patent/KR101202347B1/en,https://patentimages.storage.googleapis.com/c2/74/87/b0ea60858ed2b5/112009062089288-pat00097.png
KR-100598079-B1,신규의 보로네이트 에스테르 ,바이오콘 리미티드,"삼바시밤 가네쉬, 수미트라 스리나스, 마드하반 스리다란, 톰 토마스 푸티아프람필",2002-02-25,2002-02-25,2006-07-07,2006-07-07,https://patents.google.com/patent/KR100598079B1/ko,
KR-101993496-B1,Polymer compound and light emitting element using same ,"스미또모 가가꾸 가부시키가이샤, 캠브리지 디스플레이 테크놀로지 리미티드","치즈 세키네, 사또시 미까미, 마꼬또 안류, 히데노부 가끼모또, 안네테 레기네 스토우델, 마틴 존 험프리스, 키란 티모시 캄테카, 엘레나 오하스 가르시아, 소피 하이덴하인, 루스 페깅턴",2012-03-27,2013-03-26,2019-06-26,2019-06-26,https://patents.google.com/patent/KR101993496B1/en,
KR-20100039810-A,Substrate applicable in chip led package ,스미또모 가가꾸 가부시키가이샤,"창보 심, 사토시 오카모토, 도요나리 이토",2008-10-08,2009-10-06,2010-04-16,,https://patents.google.com/patent/KR20100039810A/en,https://patentimages.storage.googleapis.com/f8/9a/1d/28760a850c2041/112009061257105-PAT00001.png
KR-101799137-B1,고분자 화합물 및 그것을 이용한 발광 소자 ,스미또모 가가꾸 가부시키가이샤,"도모야스 요시다, 가즈노리 이와꾸라",2010-12-21,2011-12-21,2017-11-17,2017-11-17,https://patents.google.com/patent/KR101799137B1/ko,https://patentimages.storage.googleapis.com/71/f1/4f/5ae00583e33f4b/112013062732930-pct00135.png
KR-100861296-B1,PRAM device having confined cell structure and method of manufacuring the same ,주식회사 하이닉스반도체,"박남균, 박해찬, 장헌용, 홍석경, 황철성",2006-09-27,2006-09-27,2008-10-01,2008-10-01,https://patents.google.com/patent/KR100861296B1/en,https://patentimages.storage.googleapis.com/03/19/20/1390e634e45b60/112006070162679-pat00001.png
KR-101137385-B1,헤테로아릴아민 화합물 및 이를 이용한 유기 발광 소자 ,삼성모바일디스플레이주식회사,"곽윤현, 김영국, 이종혁, 이창호, 임진오, 정혜진, 황석환",2009-08-28,2009-08-28,2012-04-20,2012-04-20,https://patents.google.com/patent/KR101137385B1/ko,https://patentimages.storage.googleapis.com/81/09/de/1f7cf5f094fa3e/112009053122309-pat00084.png
KR-100948853-B1,헤테로고리 화합물 및 이를 이용한 유기 전계 발광 장치 ,삼성모바일디스플레이주식회사,"곽윤현, 김영국, 이창호, 황석환",2007-11-16,2007-11-16,2010-03-22,2010-03-22,https://patents.google.com/patent/KR100948853B1/ko,https://patentimages.storage.googleapis.com/4a/cc/af/5d69b57ae08dc4/112007082449907-pat00031.png
KR-101922506-B1,트리아진환 함유 중합체 및 그것을 함유하는 막 형성용 조성물 ,닛산 가가쿠 가부시키가이샤,"나오야 니시무라, 야스유키 코이데, 마사아키 오자와",2010-11-01,2011-10-27,2018-11-27,2018-11-27,https://patents.google.com/patent/KR101922506B1/ko,https://patentimages.storage.googleapis.com/b1/59/a4/0db4adcfcd483d/112018033329597-pat00029.png
KR-100821536-B1,난연성 수지 조성물 및 이의 성형품 ,데이진 가세이 가부시키가이샤,"다께따니유따까, 야마나까가쯔히로",2001-05-15,2002-05-14,2008-04-11,2008-04-11,https://patents.google.com/patent/KR100821536B1/ko,
KR-20000064264-A,Polyphenylene sulfide resin composition ,"히라이 가쯔히꼬, 도레이 가부시끼가이샤","아츠시 이시오, 사다유키 고바야시, 가츠히코 고바야시",1996-07-22,1997-07-17,2000-11-06,,https://patents.google.com/patent/KR20000064264A/en,
KR-20110087283-A,아미노벤젠 조성물 및 관련 소자 및 방법 ,"플렉스트로닉스, 인크","크리스토퍼 티. 브라운, 벤카타라마난 세샤드리, 징 왕",2008-11-18,2009-11-17,2011-08-02,,https://patents.google.com/patent/KR20110087283A/ko,https://patentimages.storage.googleapis.com/94/a9/fb/5bda4324585cce/pct00134.png
KR-20070107122-A,피리딜 비방향족 질소 함유 헤테로환-1-카르복실산에스테르유도체 ,아스텔라스세이야쿠 가부시키가이샤,"아끼오 가께후다, 다까또시 가나야마, 치사또 가나이, 후미에 나라자끼, 다쯔히사 다까하시, 준 마에다, 겐따로 사또, 치까시 사이또, 다까시 수가네, 조따로 스즈끼, 다까히로 이시이",2005-02-17,2006-02-16,2007-11-06,,https://patents.google.com/patent/KR20070107122A/ko,
KR-101427457-B1,전자적 응용을 위한 중수소화된 화합물 ,이 아이 듀폰 디 네모아 앤드 캄파니,"다니엘 데이빗 르클루, 아담 펜니모어, 웨이잉 가오, 노라 사비나 라두, 웨이시 우, 브세볼로드 로스토프체프, 마이클 헨리 하워드 주니어",2009-02-27,2010-03-01,2014-08-08,2014-08-08,https://patents.google.com/patent/KR101427457B1/ko,https://patentimages.storage.googleapis.com/e7/5d/c6/d340ef60fe2eb8/112011074594993-pct00027.png
KR-20110099220-A,항산화 조성물 ,켐트라 코포레이션,준 동,2008-11-24,2009-10-15,2011-09-07,,https://patents.google.com/patent/KR20110099220A/ko,
KR-101278894-B1,Block copolymer and polymeric luminescent element ,스미또모 가가꾸 가부시키가이샤,"노구치다카노부, 쓰바타요시아키, 도이슈지",2001-04-27,2002-04-24,2013-06-26,2013-06-26,https://patents.google.com/patent/KR101278894B1/en,
KR-101849789-B1,Luminescent composition and light-emitting element using said composition ,스미또모 가가꾸 가부시키가이샤,"고헤이 아사다, 요시카즈 우메모토, 시게루 사사키",2010-01-29,2011-01-27,2018-04-17,2018-04-17,https://patents.google.com/patent/KR101849789B1/en,https://patentimages.storage.googleapis.com/78/8f/27/ff447f66f2eaf5/112012067251019-pct00058.png
KR-101758328-B1,헤테로 고리 화합물 및 이를 포함하는 유기 발광 소자 ,삼성디스플레이 주식회사,"임진오, 황석환, 김영국, 곽윤현, 정혜진, 이종혁",2010-04-06,2010-04-06,2017-07-17,2017-07-17,https://patents.google.com/patent/KR101758328B1/ko,https://patentimages.storage.googleapis.com/e3/75/52/2f8d827243ee61/112010021965637-pat00116.png
KR-20150098631-A,"Oxygen-containing fused ring amine compound, sulphur-containing fused ring amine compound, and organic electroluminescent element ",이데미쓰 고산 가부시키가이샤,"요이치 이케다, 히로카쓰 이토, 마사히로 가와무라, 히로유키 사이토, 다케시 이케다",2012-12-26,2013-12-25,2015-08-28,,https://patents.google.com/patent/KR20150098631A/en,https://patentimages.storage.googleapis.com/ea/c2/cc/48cb9b2506ad07/pct00171.png
KR-20060096458-A,Ｔ형 칼슘 채널 저해제 ,닛산 가가쿠 고교 가부시키 가이샤,"유키노리 마수다, 히로오 마츠모토, 오사무 야마다, 토루 야마시타, 타이지 후루카와",2003-11-25,2004-11-25,2006-09-11,,https://patents.google.com/patent/KR20060096458A/ko,
KR-101025304-B1,"Hollow fiber, dope composition for forming hollow fiber, and method of preparing hollow fiber using the same ",한양대학교 산학협력단,"박호범, 이영무, 정철호, 한상훈",2008-05-19,2009-05-19,2011-03-29,2011-03-29,https://patents.google.com/patent/KR101025304B1/en,https://patentimages.storage.googleapis.com/40/cf/fb/6a92f4223a4c92/112009047773999-pat00227.png
KR-920011571-A,Semi-permeable to certain sulfonated substituted polysulfone polymer as a base material film ,"티모티 엔. 비숍, 유니온 카바이드 인더스트리얼 개시즈 테크놀로지 코포레이션","빅슨 벤자민, 카츠 넬슨 조이스, 고츠 게르트루트, 오즈캐이어 유르다굴",1990-12-05,1991-11-27,1992-07-24,,https://patents.google.com/patent/KR920011571A/en,
KR-101853875-B1,헤테로고리 화합물 및 이를 포함한 유기발광 소자 ,삼성디스플레이 주식회사,"이정인, 양승각, 김희연, 이재용",2011-06-22,2011-06-22,2018-05-03,2018-05-03,https://patents.google.com/patent/KR101853875B1/ko,https://patentimages.storage.googleapis.com/e9/52/69/0e1befba949a8a/112011047610734-pat00048.png
KR-20150021861-A,"유기 전기 발광 소자용 발광 재료, 이를 이용한 유기 전기 발광 소자 및 유기 전기 발광 소자용 재료 ","최돈수, 조윤환","최돈수, 조윤환",2013-08-21,2013-08-21,2015-03-03,,https://patents.google.com/patent/KR20150021861A/ko,
KR-20150004099-A,"An organic electronic element comprising a layer for improving light efficiency, and an electronic device comprising the same ",덕산하이메탈(주),"강문성, 최연희, 박정철, 박용욱, 지희선, 이범성, 박성제",2013-07-02,2013-07-02,2015-01-12,,https://patents.google.com/patent/KR20150004099A/en,https://patentimages.storage.googleapis.com/7c/6c/84/d6372885c7540a/pat00103.png
KR-100810922-B1,중합체 전해질 및 이의 제조방법 ,스미또모 가가꾸 가부시키가이샤,"데라하라아쓰시, 시노다히로시, 이와사키가쓰히코",2001-04-04,2002-04-02,2008-03-10,2008-03-10,https://patents.google.com/patent/KR100810922B1/ko,
KR-101148384-B1,"Composition for forming substrate, and prepreg and substrate using the same ",삼성전기주식회사,"오준록, 윤금희, 이근용",2009-11-26,2009-11-26,2012-05-21,2012-05-21,https://patents.google.com/patent/KR101148384B1/en,https://patentimages.storage.googleapis.com/a6/d0/43/793f76f078e2c7/112009072954145-pat00039.png
KR-101884479-B1,Electroactive composition and electronic device made with the composition ,이 아이 듀폰 디 네모아 앤드 캄파니,"마이클 헨리 주니어 하워드, 노라 사비나 라두, 웨이시 우, 웨이잉 가오, 노만 헤론, 에릭 마우리스 스미쓰, 크리스티나 엠. 올더, 아담 페니모어, 잉 왕, 다니엘 데이비드 레클로욱스, 칼린디 도그라, 프세볼로드 로스토프체프, 제랄드 펠드만, 시드하르타 쉐노이",2009-12-21,2010-12-21,2018-08-01,2018-08-01,https://patents.google.com/patent/KR101884479B1/en,https://patentimages.storage.googleapis.com/9f/56/27/1532e8d10be6a0/112012058074405-pct00078.png
KR-20140095477-A,마크로시클릭 lrrk2 키나제 억제제 ,"입센 파마 에스.에이.에스, 온코디자인 에스.에이.","얀 호플락, 페트라 블롬",2011-09-30,2012-09-28,2014-08-01,,https://patents.google.com/patent/KR20140095477A/ko,https://patentimages.storage.googleapis.com/27/84/bb/a2c6a0cb029b5a/pct00422.png
KR-20080079249-A,Modified colorants and inkjet ink compositions comprising modified colorants ,캐보트 코포레이션,"펭 구, 엘리자베스 지. 번스, 제임스 에이. 벨몬트, 유안 유, 베리 비. 코든, 폴 에스. 팔룸보, 에르비나 하림",2005-10-31,2006-10-31,2008-08-29,,https://patents.google.com/patent/KR20080079249A/en,
KR-0131241-B1,이미드 화합물을 유효성분으로 하는 에폭시 수지 조성물 ,"원본미기재, 스미또모 가가꾸 고교 가부시끼가이샤","야수히사 사이또, 구니마사 가미오, 미쯔히로 시바다, 가쯔야 와따나베, 유다까 시오미, 요우이찌 우에다",1986-12-26,1997-06-30,1998-04-13,1998-04-13,https://patents.google.com/patent/KR0131241B1/ko,
KR-100272650-B1,베타-페닐이소세린 및 그의 동족체를 제조하는 방법 ,"자끄 사비나, 아방티 파르마 소시에떼 아노님","부르자 장-도미니끄, 코메르쏭 알랭",1992-03-10,1993-03-08,2000-11-15,2000-11-15,https://patents.google.com/patent/KR100272650B1/ko,
KR-100361241-B1,High-density magnetic recording medium comprising a biaxially oriented film and this base film ,데이진 가부시키가이샤,"마코토 한다, 미추마사 오노, 다케오 아사이, 히로시 도미타, 겐지 스즈키",1997-10-27,1998-10-27,2003-03-28,2003-03-28,https://patents.google.com/patent/KR100361241B1/en,
KR-20150030659-A,Organic electroluminescent element and display device ,소니 주식회사,"마사토 나카무라, 에미코 캄베, 마사카즈 후나하시",2012-06-12,2013-06-04,2015-03-20,,https://patents.google.com/patent/KR20150030659A/en,https://patentimages.storage.googleapis.com/97/4a/0a/ee8dbfd311dc1a/pct00053.png
KR-20100097182-A,Aromatic diamine derivative and organic electroluminescent device using the same ,이데미쓰 고산 가부시키가이샤,"마사히로 가와무라, 유미코 미즈키, 미츠노리 이토, 마사카즈 후나하시",2007-12-28,2008-12-25,2010-09-02,,https://patents.google.com/patent/KR20100097182A/en,
KR-20030027016-A,Quinoline derivatives as anti-inflammation agents ,에프. 호프만-라 로슈 아게,"브로카크리스알렌, 김웅기, 맥라렌케빈리, 스미스데이빗버나드",2000-08-09,2001-08-01,2003-04-03,,https://patents.google.com/patent/KR20030027016A/en,
KR-101092170-B1,Carbazole Type Phosphine Oxide Compound and Organic Light Emitting Device Including the Same ,단국대학교 산학협력단,"김오영, 육경수, 이준엽, 전순옥",2009-05-27,2009-10-30,2011-12-13,2011-12-13,https://patents.google.com/patent/KR101092170B1/en,https://patentimages.storage.googleapis.com/a1/96/6f/6d100e70c09161/112009066778209-pat00057.png
KR-920001527-B1,자동문 구동 시스템 ,"요시다 다다오, 요시다 고오교오 가부시키가이샤",유키오 요시다,1987-08-07,1988-08-06,1992-02-15,1992-02-15,https://patents.google.com/patent/KR920001527B1/ko,https://patentimages.storage.googleapis.com/c1/ec/3d/36302ff2750750/kpo00001.png
KR-20080024975-A,수소 저장 물질로서 아릴기를 갖는 유기-전이금속 복합체및 이의 제조방법 ,"재단법인서울대학교산학협력재단, 한양대학교 산학협력단, 한화석유화학 주식회사","김동옥, 김종식, 박제성, 오성근, 오철, 윤희복, 이훈경, 임지순, 전효진",2006-09-13,2007-09-07,2008-03-19,,https://patents.google.com/patent/KR20080024975A/ko,https://patentimages.storage.googleapis.com/7b/d8/64/9c10c35a599f63/112007065036843-PAT00010.png
KR-20030021674-A,정공 수송/주입 능력이 있는 화합물과 이를 포함하는분자자기조립막을 갖춘 유기 전기발광 소자 ,"한국전자통신연구원, 한국과학기술원","이정익, 추혜용, 이효영, 오지영, 김성현, 도이미, 정태형, 이재민, 정병준, 심홍구",2001-09-07,2001-09-07,2003-03-15,,https://patents.google.com/patent/KR20030021674A/ko,
KR-101852198-B1,액정 폴리에스테르-함유 액체 조성물 ,스미또모 가가꾸 가부시끼가이샤,"도요나리 이토, 창보 심",2011-01-17,2011-12-30,2018-04-25,2018-04-25,https://patents.google.com/patent/KR101852198B1/ko,
KR-20100074288-A,히스톤 디아세틸라제 억제제 ,오키드 리서치 레버라토리즈 리미티드,"프랍후 다이바시가마니, 스리드하란 라자고팔, 스리람 라자고팔, 카남바람 아난드한, 비렌드라 카크하디아, 압둘 라힘 키이리, 타나세카란 폰판디안, 라젠드란 프라비엔",2007-10-22,2008-10-21,2010-07-01,,https://patents.google.com/patent/KR20100074288A/ko,https://patentimages.storage.googleapis.com/d7/31/51/ad31a6499729ab/pct00220.png
KR-20100082676-A,"Novel compound, derivatives thereof and organic electronic device using the same ",주식회사 엘지화학,"김정곤, 김지은, 배재순, 장혜영",2009-01-09,2009-01-09,2010-07-19,,https://patents.google.com/patent/KR20100082676A/en,https://patentimages.storage.googleapis.com/89/17/5e/6b94e550cc758e/112009001535366-PAT00410.png
KR-20070119527-A,액정 중합체 조성물 및 이의 용도 ,스미또모 가가꾸 가부시키가이샤,"토시키 모리, 사토시 오카모토, 토모야 호소다",2006-06-15,2007-06-13,2007-12-20,,https://patents.google.com/patent/KR20070119527A/ko,https://patentimages.storage.googleapis.com/b4/e2/56/d533bd8eef3b4b/112007042762462-PAT00012.png
KR-100812178-B1,Electroluminescent compounds comprising fluorene group and organic electroluminescent device using the same ,(주)그라쎌,"곽미영, 권혁주, 김남균, 김봉옥, 김성민, 김치식, 백정수, 신환승, 신효님, 이미애, 조영준, 최일원",2006-01-27,2007-01-19,2008-03-12,2008-03-12,https://patents.google.com/patent/KR100812178B1/en,https://patentimages.storage.googleapis.com/cd/91/ba/bea2e4f5006781/112007005730770-pat00109.png
KR-101922494-B1,Aniline derivatives and uses thereof ,닛산 가가쿠 가부시키가이샤,"나오키 나카이에, 타이치 나카자와",2013-10-04,2014-10-03,2018-11-27,2018-11-27,https://patents.google.com/patent/KR101922494B1/en,
KR-101322828-B1,"Organic Chemical and Organic Electronic Element using the same, Terminal thereof ",덕산하이메탈(주),"김동하, 문성윤, 박정철, 주진욱, 백장열, 김원삼, 박성진, 김은경, 최대혁, 박정환, 홍철광, 유한성",2009-11-05,2010-09-30,2013-10-25,2013-10-25,https://patents.google.com/patent/KR101322828B1/en,https://patentimages.storage.googleapis.com/77/77/96/c49599fe39b96c/112010063337120-pat00152.png
KR-101964475-B1,유기 전계발광 디바이스용 재료 ,메르크 파텐트 게엠베하,"오렐리 루데망, 르미 마누크 아네미앙, 주잔네 호인, 알무트 라프",2010-10-14,2011-09-15,2019-04-01,2019-04-01,https://patents.google.com/patent/KR101964475B1/ko,https://patentimages.storage.googleapis.com/e5/2a/6d/e12848fd6f1bd8/112013042200938-pct00106.png
KR-20100017849-A,Aromatic amine derivative and organic electroluminescent device using the same ,이데미쓰 고산 가부시키가이샤,"유미코 미즈키, 신타로 이와모토, 미츠노리 이토, 마사카즈 후나하시",2007-06-18,2008-06-17,2010-02-16,,https://patents.google.com/patent/KR20100017849A/en,
KR-101700975-B1,유기 전계 발광 소자 ,메르크 파텐트 게엠베하,"요아힘 카이저, 호르스트 베스트베버, 지모네 로이",2009-03-09,2010-02-12,2017-01-31,2017-01-31,https://patents.google.com/patent/KR101700975B1/ko,https://patentimages.storage.googleapis.com/e3/98/d9/1a4ac1f115eee9/112011053280970-pct00092.png
KR-20080003409-A,Organic electroluminescent devices ,메르크 파텐트 게엠베하,"필립 슈퇴쎌, 홀거 하일, 호르스트 페스트베버",2005-04-12,2006-03-20,2008-01-07,,https://patents.google.com/patent/KR20080003409A/en,
KR-100215325-B1,Nonhalogenated poly(arylene ether) dielectrics ,"마쉬 윌리엄 에프, 에어 프로덕츠 앤드 케미칼스, 인코오포레이티드","프랭클린 버고인 쥬니어 윌리엄, 말론 롭슨 로이드, 니콜라스 브르티스 레이몬드",1995-07-13,1996-07-10,1999-08-16,1999-08-16,https://patents.google.com/patent/KR100215325B1/en,
KR-20120025541-A,Preparation of 1-(substituted aryl)-5-trifluoromethyl-2-(1h)pyridone compounds and salts thereof and their applications ,센트럴 사우스 유니버시티,"준 첸, 리지안 타오, 가오윤 후",2009-05-25,2010-05-24,2012-03-15,,https://patents.google.com/patent/KR20120025541A/en,https://patentimages.storage.googleapis.com/8a/3e/ee/0b23e2ba9573d2/pct00037.png
KR-20080021714-A,"Derivatives of pyrido[2,3-d]pyrimidine, the preparation thereof, and the therapeutic application of the same ",사노피-아벤티스,"클로드 뮈노, 베르나르 부리, 사미르 제그함, 피에르 카셀라, 피에르 페로",2005-07-01,2006-06-29,2008-03-07,,https://patents.google.com/patent/KR20080021714A/en,
KR-20170138536-A,선택적 안드로겐 수용체 분해제(sard) 리간드 및 이의 사용 방법 ,"지티엑스, 인코포레이티드, 유니버시티 오브 테네시 리서치 파운데이션","라메시 나라야난, 두에인 디. 밀러, 타마라이 포누사미, 동-진 황, 찰스 비. 듀크, 크리스토퍼 씨. 코스, 아만다 존스, 제임스 티. 달튼",2015-04-21,2016-04-21,2017-12-15,,https://patents.google.com/patent/KR20170138536A/ko,https://patentimages.storage.googleapis.com/8e/0f/62/f85f7c0752fdd5/pct00060.png
KR-20130000345-A,Laminate ,스미또모 가가꾸 가부시끼가이샤,"도요나리 이토, 쇼헤이 아자미, 창보 심",2011-06-22,2012-06-20,2013-01-02,,https://patents.google.com/patent/KR20130000345A/en,https://patentimages.storage.googleapis.com/c3/c3/1b/8fe8a62cce00be/pat00002.png
KR-20100028154-A,Novel organic electroluminescent compounds and organic electroluminescent device using the same ,다우어드밴스드디스플레이머티리얼 유한회사,"권혁주, 김봉옥, 김성민, 윤승수, 음성진, 이효정, 조영준",2008-09-04,2008-09-04,2010-03-12,,https://patents.google.com/patent/KR20100028154A/en,https://patentimages.storage.googleapis.com/22/90/c7/3724bc53d0452a/112008062869878-PAT00107.png
KR-20100015572-A,유기 전계 발광 소자용 화합물 및 유기 전계 발광 소자 ,신닛테츠가가쿠 가부시키가이샤,"토시히로 야마모토, 준야 오가와, 타카히로 카이, 마사노리 홋타",2007-03-27,2008-03-26,2010-02-12,,https://patents.google.com/patent/KR20100015572A/ko,https://patentimages.storage.googleapis.com/c5/37/94/2c8ab9212a98ff/112009062972526-PCT00021.png
KR-100261363-B1,액정 유기 중합체의 모노필라멘트를 포함하는 보강 집합체 ,"갈레 폴, 미슐랭 르세르쉬 에 테크니끄 에스.아","클로디오발레스트라, 죠엘리비에르",1990-12-27,1991-12-20,2000-08-01,2000-08-01,https://patents.google.com/patent/KR100261363B1/ko,
KR-20140026532-A,키나제 억제제 ,이칸 스쿨 오브 메디슨 엣 마운트 시나이,"엠.브이. 라마나 레디, 이. 프렘쿠마르 레디",2011-04-29,2012-04-30,2014-03-05,,https://patents.google.com/patent/KR20140026532A/ko,
KR-101939552-B1,유기 전계 발광 화합물 및 이를 포함하는 유기 전계 발광 소자 ,롬엔드하스전자재료코리아유한회사,"이경주, 김치식, 안희춘, 양수진, 문두현, 전지송, 조영준, 이태진",2013-12-06,2013-12-06,2019-01-17,2019-01-17,https://patents.google.com/patent/KR101939552B1/ko,https://patentimages.storage.googleapis.com/61/ae/9a/707cb0c5113b8a/112018003191838-pat00098.png
KR-840007870-A,Method of producing a hydroxylamine derivative ,"허버트 후리텔, 로우셀 우크라프",3) 쟝떼시어(외,1983-02-23,1984-02-23,1984-12-11,,https://patents.google.com/patent/KR840007870A/en,
KR-101647508-B1,"벤조플루오렌 화합물, 그 화합물을 이용한 발광층용 재료및 유기 전계 발광 소자 ",제이엔씨 주식회사,"궈팡 왕, 아키코 가게야마, 도시히로 고이케, 마나부 우치다",2006-10-05,2007-10-04,2016-08-10,2016-08-10,https://patents.google.com/patent/KR101647508B1/ko,https://patentimages.storage.googleapis.com/a0/fe/f9/8ad0d74b07a0a1/112007071404591-pat00033.png
KR-100974562-B1,신규한 유기 발광 화합물 및 이를 발광재료로서 채용하고있는 유기 발광 소자 ,다우어드밴스드디스플레이머티리얼 유한회사,"권혁주, 김봉옥, 김성민, 윤승수, 음성진, 조영준",2007-12-31,2007-12-31,2010-08-06,2010-08-06,https://patents.google.com/patent/KR100974562B1/ko,https://patentimages.storage.googleapis.com/50/4f/32/127ae3d336359f/112007095222674-pat00270.png
KR-101083152-B1,A trusted network connect system for enhancing the security ,"차이나 아이더블유엔콤 씨오., 엘티디","유에레이 샤오, 준 카오, 샤오롱 라이, 젠하이 황",2007-08-08,2008-07-21,2011-11-11,2011-11-11,https://patents.google.com/patent/KR101083152B1/en,https://patentimages.storage.googleapis.com/fe/83/e6/44bd6e5c8cbfd6/112010014072188-pct00001.png
KR-20120104246-A,전자 소자용 재료 ,메르크 파텐트 게엠베하,"이리나 마르티노바, 테레사 뮤히카-페르나우드, 아르네 뷔징, 르미 마누크 아네미앙, 아미르 호싸인 파르함, 크리슈토프 플룸, 홀거 하일",2009-11-14,2010-10-20,2012-09-20,,https://patents.google.com/patent/KR20120104246A/ko,
KR-970001158-B1,Novel n-(4-piperidinyl) bicyclic condensed 2-imidazolamine derivatives ,"폴 아드리안 쟌 쟈안센, 쟈안센 파아마슈우티카 엔. 부이.","에드워드 쟈안센 프란스, 레오 기스라누스 토오르만스 죠세프, 스타니스라스 마아세라 다일스 개스톤",1987-06-19,1988-06-17,1997-01-29,1997-01-29,https://patents.google.com/patent/KR970001158B1/en,
KR-20130052566-A,Bridged triarylamines and -phosphines as materials for electronic devices ,메르크 파텐트 게엠베하,"아미르 호싸인 파르함, 크리슈토프 플룸",2010-04-14,2011-03-16,2013-05-22,,https://patents.google.com/patent/KR20130052566A/en,
KR-20100027759-A,플루오렌 화합물 및 이를 이용한 유기 전계 발광 장치 ,삼성모바일디스플레이주식회사,"곽윤현, 김영국, 이정인, 이창호, 황석환",2008-09-03,2008-09-03,2010-03-11,,https://patents.google.com/patent/KR20100027759A/ko,https://patentimages.storage.googleapis.com/02/b5/5e/c9942f8354a97f/112008062738097-PAT00043.png
KR-20100109060-A,Novel organic electroluminescent compounds and organic electroluminescent device using the same ,다우어드밴스드디스플레이머티리얼 유한회사,"권혁주, 김봉옥, 김성민, 김영길, 윤승수, 조영준",2009-03-31,2009-03-31,2010-10-08,,https://patents.google.com/patent/KR20100109060A/en,
KR-101746247-B1,Organic electroluminescent element ,스미또모 가가꾸 가부시키가이샤,"마사유끼 소가, 유스께 이시이",2009-10-22,2010-10-21,2017-06-12,2017-06-12,https://patents.google.com/patent/KR101746247B1/en,
KR-20180041744-A,"6,9,15,18-테트라히드로-s-인다세노[1,2-b:5,6-b']디플루오렌 유도체 및 전자 소자에서의 이의 용도 ",메르크 파텐트 게엠베하,"홀거 하일, 베아테 부르크하르트, 라라-이사벨 로드리게스, 세바슈티안 마이어, 루펜 링게, 아망딘 달시",2015-08-28,2016-07-29,2018-04-24,,https://patents.google.com/patent/KR20180041744A/ko,
KR-20070108392-A,Dicarbazole aromatic amine polymers and electronic devices ,스미또모 가가꾸 가부시키가이샤,"제임스 제이. 오브라이언, 웨이시 우, 왕린 유, 미쉘 엘. 후닥",2005-03-04,2006-03-02,2007-11-09,,https://patents.google.com/patent/KR20070108392A/en,
KR-20080079694-A,Arylamine polymer ,"캠브리지 디스플레이 테크놀로지 리미티드, 씨디티 옥스포드 리미티드","앤네트 스테우델, 조나단 필로우, 낼린쿠마 파텔, 매리 맥키어난, 소피 헤이덴하인, 나타샤 콘웨이",2005-12-22,2006-12-18,2008-09-01,,https://patents.google.com/patent/KR20080079694A/en,https://patentimages.storage.googleapis.com/cf/36/a5/906f957c22b1ff/112008052022508-PCT00077.png
